baujahr,stadt,Bevölkerung,DistanzNamur,DistanzMaastricht,DistanzBrüssel,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2010,GRAND-MANIL,21964,21,106,48,180,330000,130.0,3,2,3,0,1,0
2010,DINANT,13544,28,126,98,135,390000,212.0,3,1,2,0,1,0
2010,BOURSEIGNE-NEUVE,150,59,158,130,124,390000,137.0,4,1,2,0,1,0
2010,AUBANGE,16042,140,182,198,34,399000,155.0,3,1,2,1,1,0
2010,ARLON,30047,129,156,188,33,775000,219.0,3,1,5,0,1,0
2010,PETIT-RECHAIN,55198,89,42,120,143,167560,69.0,1,1,1,0,0,1
2010,BASSENGE,8986,76,16,106,191,189000,78.0,2,1,1,0,0,0
2010,LIERS,33930,98,104,47,180,279000,140.0,3,2,3,1,1,0
2010,WAIMES,7376,129,81,159,114,229000,162.0,3,1,1,0,0,1
2010,WAREMME,15437,51,54,78,191,315000,180.0,3,1,2,1,1,0
2010,HUY,21293,38,68,86,162,295000,250.0,3,1,3,1,1,0
2011,MONTEGNÉE,11705,60,40,93,172,285000,155.0,3,1,2,0,1,0
2011,SAINT-GEORGES-SUR-MEUSE,7000,46,50,103,195,268000,142.0,3,1,2,0,0,1
2011,LIÈGE,195965,65,32,97,166,137000,60.0,1,1,1,0,0,1
2011,BERTRIX,8164,88,159,147,84,349000,220.0,4,2,3,1,1,0
2011,NEUVILLE-EN-CONDROZ,9798,57,50,105,161,210000,73.0,1,1,3,0,0,1
2011,DURBUY,11374,56,83,117,141,255000,145.0,3,1,1,1,1,0
2011,DURBUY,11374,56,83,117,141,249500,146.0,3,1,1,1,1,0
2011,VAUX-SOUS-CHÈVREMONT,4571,71,39,104,163,178000,93.0,2,1,1,0,0,1
2012,GOUVY,4780,103,110,171,87,157000,161.0,3,1,1,1,1,0
2012,LIÈGE,195965,65,32,97,166,215000,92.0,2,1,2,0,0,1
2012,HEURE-LE-ROMAIN,2136,74,24,105,189,249000,80.0,2,1,1,0,0,1
2012,WEGNEZ,3332,95,47,126,160,179000,110.0,2,1,1,1,0,1
2012,PROFONDEVILLE,12117,12,107,80,151,240000,90.0,2,1,1,0,0,1
2012,GOUVY,4780,103,110,171,87,157000,161.0,3,1,1,0,1,0
2012,FLÉRON,16380,81,33,111,164,295000,108.0,2,2,1,0,0,1
2012,STRÉE-LEZ-HUY,4200,51,70,93,155,189000,90.0,2,1,1,0,0,1
2012,FRANCORCHAMPS,10378,112,65,143,124,210000,76.0,2,1,1,0,0,1
2012,GRÂCE-HOLLOGNE,23574,56,41,94,177,345000,254.0,4,1,3,1,1,0
2012,SPA,10543,109,61,140,130,1890000,1150.0,14,5,26,1,1,0
2012,FLÉMALLE-GRANDE,26174,56,46,98,173,190000,102.0,2,1,1,0,0,1
2012,SART-LEZ-SPA,8590,106,58,136,127,1890000,1150.0,14,5,20,1,1,0
2012,VISÉ,17925,78,18,95,182,650000,203.0,3,1,5,0,1,0
2012,NAMUR,110175,0,93,66,154,295000,97.0,2,1,1,0,0,1
2012,LANTIN,8405,63,35,94,178,285000,135.0,4,1,3,1,1,0
2012,LAMONTZÉE,3236,23,69,76,176,365000,184.0,3,1,6,1,1,0
2012,JUPILLE-SUR-MEUSE,10784,77,29,108,167,325000,270.0,4,2,1,0,1,0
2012,ERPENT,110939,4,95,67,150,390000,147.0,3,1,1,0,0,0
2012,SAINT-MARD,10500,135,177,193,54,326000,192.0,4,1,1,0,1,0
2012,JAMBES,19399,1,94,67,155,495000,95.0,2,1,1,0,0,1
2012,SOURBRODT,7429,117,70,148,123,155000,142.0,3,1,1,1,0,1
2013,GRÂCE-BERLEUR,10871,61,40,94,173,310000,200.0,4,1,4,0,1,0
2013,BIERSET,1427,57,43,90,178,189000,75.0,2,1,2,0,0,0
2013,DHUY,1197,15,93,53,165,415000,180.0,4,2,5,0,1,0
2013,AMAY,14231,46,56,94,165,188000,210.0,4,1,3,1,1,0
2013,OREYE,3464,59,30,80,187,240000,120.0,3,1,1,0,0,0
2013,VERVIERS,55592,94,46,124,140,515000,227.0,4,2,11,1,1,0
2013,NAMUR,110175,0,93,66,154,425000,145.0,3,1,2,0,0,0
2013,AYWAILLE,12000,91,59,123,146,495000,275.0,5,1,1,0,1,0
2013,NAMUR,110175,0,93,66,154,425000,145.0,3,1,2,0,0,0
2013,BEAUFAYS,21012,79,47,111,153,560000,159.0,3,2,3,0,0,1
2013,MESSANCY,8283,136,179,195,31,230000,80.0,2,1,1,0,0,1
2013,LIÈGE,195965,65,32,97,166,380000,127.0,3,1,1,0,0,1
2014,WARET-L'EVÈQUE,5277,25,93,65,156,299000,120.0,3,1,4,0,1,0
2014,FAULX-LES-TOMBES,7246,23,91,76,145,315000,150.0,3,1,3,0,1,0
2014,LANDENNE,27017,18,75,73,173,298000,186.0,4,2,2,0,1,0
2014,OUPEYE,25297,73,23,103,187,299000,168.0,4,1,2,1,1,0
2014,HERSTAL,600000,72,27,103,175,365000,234.0,3,1,1,0,1,0
2014,MUSSY-LA-VILLE,1156,143,185,201,46,420000,180.0,5,1,1,1,1,0
2014,BASTOGNE,16377,86,118,147,83,215000,103.0,2,1,1,0,0,1
2014,AMAY,14231,46,56,94,165,165000,135.0,3,1,2,0,0,1
2014,JEHAY,14231,46,53,106,168,285000,150.0,4,2,4,1,1,0
2014,GUERLANGE,349,144,186,202,28,1180000,300.0,4,1,2,1,1,0
2014,VISÉ,17925,78,18,95,182,1000000,260.0,4,1,3,0,0,0
2014,VERLAINE,3507,43,52,84,192,495000,183.0,3,1,4,1,1,0
2014,NEUPRÉ,9993,60,47,110,167,253200,155.0,3,1,2,1,0,0
2015,SEILLES,4957,19,78,76,155,180000,115.0,3,1,2,0,1,0
2015,GEMBLOUX,25933,20,105,46,179,250000,80.0,2,1,1,1,0,1
2015,BATTICE,17598,87,39,117,147,340000,155.0,3,1,1,1,1,0
2015,DURBUY,11374,56,83,117,141,249500,193.0,5,3,2,0,1,0
2015,BERTRIX,8164,88,159,147,84,249900,130.0,3,1,1,0,0,1
2015,BERTRIX,8164,88,159,147,84,181100,91.0,2,1,1,0,0,1
2015,BASTOGNE,16377,86,118,147,83,495000,280.0,6,1,2,0,1,0
2015,LIBRAMONT-CHEVIGNY,11346,83,150,142,75,179000,60.0,1,1,1,0,0,1
2015,MALMEDY,12654,121,73,151,116,990000,300.0,5,2,5,0,1,0
2015,GEMBLOUX,25933,20,105,46,179,280000,108.0,2,1,1,0,0,1
2015,PALISEUL,5393,77,163,136,92,339000,157.0,3,1,2,1,1,0
2015,AUBANGE,16042,140,182,198,34,335000,138.0,3,2,1,0,0,0
2015,LIÈGE,195965,65,32,97,166,182500,122.0,3,1,1,0,0,1
2015,AUBANGE,16042,140,182,198,34,335000,138.0,3,2,1,0,0,0
2015,LA CALAMINE,11061,102,41,133,161,230000,77.0,2,1,1,0,0,1
2015,ANS,27322,63,35,91,173,235000,119.0,2,1,2,0,0,1
2015,ANS,27322,63,35,91,173,235000,119.0,2,1,2,0,0,1
2015,ANS,27322,63,35,91,173,235000,119.0,2,1,2,0,0,1
2015,ANS,27322,63,35,91,173,219500,119.0,2,1,2,0,0,1
2015,LA CALAMINE,11061,102,41,133,161,225000,77.0,2,1,1,0,0,1
2015,ANS,27322,63,35,91,173,235000,119.0,2,1,2,0,0,1
2015,ANS,27322,63,35,91,173,235000,119.0,2,1,2,0,0,1
2015,ANS,27322,63,35,91,173,235000,119.0,2,1,2,0,0,1
2015,ANS,27322,63,35,91,173,219500,119.0,2,1,2,0,0,1
2016,SPRIMONT,14645,83,52,116,147,195000,79.0,2,1,1,0,0,1
2016,LIÈGE,195965,65,32,97,166,239000,114.0,3,1,2,0,0,1
2016,ANS,27322,63,35,91,173,242000,111.0,3,1,2,0,0,1
2016,ANS,27322,63,35,91,173,208000,104.0,3,1,2,0,0,1
2016,HERVE,17598,83,35,113,149,419000,150.0,2,2,3,0,0,0
2016,HERVE,17598,83,35,113,149,419000,150.0,2,2,3,0,0,0
2016,VOTTEM,7464,67,32,97,173,225000,132.0,2,1,2,0,0,0
2016,AMAY,14231,46,56,94,165,235000,120.0,3,1,2,1,1,0
2016,STEMBERT,55198,96,49,127,141,399500,220.0,3,2,6,1,1,0
2016,ANS,27322,63,35,91,173,342000,150.0,3,1,2,0,0,0
2016,SOUMAGNE,16888,81,33,112,168,208000,136.0,3,2,1,0,0,0
2016,ANS,27322,63,35,91,173,239000,114.0,3,1,2,0,0,1
2016,ANS,27322,63,35,91,173,172000,82.0,2,1,2,0,0,1
2016,SOUMAGNE,16888,81,33,112,168,265000,220.0,4,2,2,1,0,0
2016,ANS,27322,63,35,91,173,216000,106.0,2,1,1,0,0,1
2016,SOMMIÈRE,3120,29,115,108,145,249000,175.0,3,1,2,0,1,0
2016,MONS-LEZ-LIÈGE,3595,53,45,97,173,299483,140.0,4,1,2,0,1,0
2016,DINANT,13544,28,126,98,135,249000,175.0,3,1,2,0,1,0
2017,GRIVEGNÉE,19606,69,34,102,164,269000,96.0,2,1,1,0,0,1
2017,LIÈGE,195965,65,32,97,166,315000,150.0,3,1,1,0,0,1
2017,VERVIERS,55592,94,46,124,140,217000,110.0,3,1,2,0,0,0
2017,HERSTAL,600000,72,27,103,175,315000,150.0,3,1,1,0,0,1
2017,GRÂCE-HOLLOGNE,23574,56,41,94,177,195000,104.0,2,1,1,0,0,1
2017,GRÂCE-HOLLOGNE,23574,56,41,94,177,195000,107.0,2,1,2,0,0,1
2017,NAMUR,110175,0,93,66,154,269000,132.0,3,2,6,0,0,1
2017,SAINT-NICOLAS,24392,63,43,97,170,350000,145.0,4,2,5,0,1,0
2017,SAIVE,13300,76,29,107,175,375000,240.0,6,1,2,1,1,0
2017,JAMBES,19399,1,94,67,155,249000,109.0,2,1,1,1,0,1
2017,JAMBES,19399,1,94,67,155,249000,109.0,2,1,1,1,0,1
2017,JAMBES,19399,1,94,67,155,349000,169.0,3,2,2,0,0,1
2017,NAMUR,110175,0,93,66,154,279000,105.0,3,2,1,0,0,1
2017,HERSTAL,600000,72,27,103,175,195000,100.0,2,1,1,0,0,1
2017,CHAINEUX,16772,88,40,119,144,385916,140.0,4,1,2,1,1,0
2017,CHAINEUX,16772,88,40,119,144,318330,145.0,3,1,2,1,1,0
2017,FLORENVILLE,5639,114,167,172,67,280000,180.0,4,2,1,0,1,0
2017,JEMEPPE-SUR-MEUSE,11398,60,43,96,172,165000,103.0,2,1,1,0,0,1
2017,MUSSY-LA-VILLE,1156,143,185,201,46,175000,160.0,4,1,3,1,1,0
2017,FLÉMALLE,25140,55,47,99,182,175000,102.0,2,1,1,0,0,1
2017,FLÉMALLE,25140,55,47,99,182,175000,90.0,2,1,1,0,0,1
2017,HUY,21293,38,68,86,162,232500,126.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,232500,126.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,232500,126.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,237500,129.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,237500,129.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,232500,126.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,232500,126.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,232500,126.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,237500,129.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,237500,129.0,3,1,1,1,1,0
2017,HUY,21293,38,68,86,162,205000,126.0,2,1,1,1,1,0
2017,HUY,21293,38,68,86,162,202500,122.0,2,1,1,1,0,0
2017,HUY,21293,38,68,86,162,199000,118.0,2,1,1,1,0,0
2017,HUY,21293,38,68,86,162,199000,118.0,2,1,1,1,0,0
2017,HUY,21293,38,68,86,162,202500,122.0,2,1,1,1,0,0
2017,HUY,21293,38,68,86,162,207500,120.0,3,1,1,0,0,0
2017,HUY,21293,38,68,86,162,207500,120.0,3,1,1,0,0,0
2017,HUY,21293,38,68,86,162,192500,121.0,2,1,1,1,0,0
2017,HUY,21293,38,68,86,162,189000,119.0,2,1,1,1,0,0
2017,HUY,21293,38,68,86,162,189000,119.0,2,1,1,1,0,0
2017,HUY,21293,38,68,86,162,192500,121.0,2,1,1,1,0,0
2017,ANS,27322,63,35,91,173,212100,100.0,2,1,1,0,0,1
2018,LIÈGE,195965,65,32,97,166,174000,56.0,1,1,2,0,0,1
2018,LIÈGE,195965,65,32,97,166,196000,63.0,1,1,2,0,0,1
2018,TRANSINNE,5223,65,122,123,93,245000,100.0,3,1,2,1,1,0
2018,ANS,27322,63,35,91,173,197500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,157500,74.0,1,1,2,0,0,1
2018,LIÈGE,195965,65,32,97,166,289000,102.0,2,1,2,0,0,1
2018,LIÈGE,195965,65,32,97,166,304000,112.0,2,1,2,0,0,0
2018,LIÈGE,195965,65,32,97,166,252000,86.0,2,1,2,0,0,1
2018,LIÈGE,195965,65,32,97,166,174000,56.0,1,1,2,0,0,1
2018,LIÈGE,195965,65,32,97,166,289000,102.0,2,1,2,0,0,1
2018,LIÈGE,195965,65,32,97,166,252000,86.0,2,1,2,0,0,1
2018,TILFF,12889,76,44,109,157,275000,91.0,2,1,2,0,0,1
2018,JAMBES,19399,1,94,67,155,295000,105.0,2,1,1,0,0,1
2018,ETALLE,5389,118,160,177,45,598000,600.0,3,2,11,1,1,0
2018,HUY,21293,38,68,86,162,249000,205.0,4,1,1,1,1,0
2018,HUY,21293,38,68,86,162,225000,105.0,2,1,1,0,0,1
2018,OHEY,5090,29,82,90,149,250000,240.0,3,1,3,0,1,0
2018,JALLET,303,32,79,93,152,250000,240.0,3,1,3,0,1,0
2018,BASTOGNE,16377,86,118,147,83,230000,102.0,2,1,1,0,0,1
2018,BEYNE-HEUSAY,11711,73,34,105,166,186000,66.0,1,1,1,0,0,1
2018,GRÂCE-HOLLOGNE,23574,56,41,94,177,280000,240.0,3,1,3,1,1,0
2018,AMAY,14231,46,56,94,165,190000,144.0,3,1,2,0,1,0
2018,HANNUT,16676,36,71,64,185,181400,70.0,1,1,1,1,0,1
2018,MANHAY,3767,72,82,146,122,399000,150.0,3,1,4,1,1,0
2018,FRAIPONT,8172,80,44,113,153,249500,120.0,3,1,1,0,0,1
2018,OLNE,4035,87,39,117,162,167500,75.0,2,1,1,0,0,1
2018,FRAIPONT,8172,80,44,113,153,167500,75.0,2,1,1,0,0,1
2018,ANS,27322,63,35,91,173,209500,99.0,2,1,2,0,0,0
2018,MALMEDY,12654,121,73,151,116,320000,142.0,3,1,3,1,1,0
2018,AYWAILLE,12000,91,59,123,146,325000,243.0,3,1,4,0,1,0
2018,AYWAILLE,12000,91,59,123,146,325000,243.0,3,1,4,0,1,0
2018,AYWAILLE,12000,91,59,123,146,335000,243.0,3,1,4,0,1,0
2018,AYWAILLE,12000,91,59,123,146,325000,243.0,3,1,4,0,1,0
2018,AYWAILLE,12000,91,59,123,146,325000,243.0,3,1,4,0,1,0
2018,HENRI-CHAPELLE,9920,95,33,125,154,249500,120.0,2,1,1,1,0,1
2018,HENRI-CHAPELLE,9920,95,33,125,154,239500,120.0,2,1,1,0,0,1
2018,ANS,27322,63,35,91,173,157500,74.0,1,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,197500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,197500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,209500,99.0,2,1,2,0,0,0
2018,ANS,27322,63,35,91,173,189500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,205000,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,98.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,189500,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,229500,119.0,2,1,2,0,0,1
2018,MALMEDY,12654,121,73,151,116,275000,139.0,3,1,2,0,1,0
2018,MALMEDY,12654,121,73,151,116,275000,144.0,3,2,2,0,1,0
2018,SOUMAGNE,16888,81,33,112,168,216000,137.0,3,1,1,0,0,1
2018,SOUMAGNE,16888,81,33,112,168,216000,137.0,3,1,1,0,0,1
2018,ANS,27322,63,35,91,173,189500,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,189500,99.0,2,1,2,0,0,1
2018,CLERMONT-SOUS-HUY,1422,57,54,105,163,270000,159.0,4,1,2,1,1,0
2018,WAREMME,15437,51,54,78,191,379000,152.0,3,2,1,0,0,0
2018,TILFF,12889,76,44,109,157,227000,93.0,2,1,2,0,0,1
2018,HUY,21293,38,68,86,162,234900,92.0,2,1,1,0,0,1
2018,HUY,21293,38,68,86,162,227000,87.0,2,1,1,0,0,1
2018,HUY,21293,38,68,86,162,220200,83.0,2,1,1,0,0,1
2018,HUY,21293,38,68,86,162,229100,87.0,2,1,1,0,0,1
2018,OLNE,4035,87,39,117,162,167500,80.0,2,1,1,0,0,1
2018,OLNE,4035,87,39,117,162,167500,80.0,2,1,1,0,0,1
2018,OLNE,4035,87,39,117,162,167500,80.0,2,1,1,0,0,1
2018,OLNE,4035,87,39,117,162,249500,120.0,3,1,1,0,0,1
2018,OLNE,4035,87,39,117,162,249500,120.0,3,1,1,0,0,1
2018,OLNE,4035,87,39,117,162,167500,80.0,2,1,1,0,0,1
2018,JAMBES,19399,1,94,67,155,282500,107.0,3,1,1,0,0,1
2018,ANS,27322,63,35,91,173,199500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,197500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,197500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,189500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,205000,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,189500,99.0,2,1,2,0,0,1
2018,TILFF,12889,76,44,109,157,349000,104.0,2,1,15,0,0,0
2018,HANNUT,16676,36,71,64,185,263700,118.0,3,1,1,0,0,1
2018,HANNUT,16676,36,71,64,185,179800,70.0,1,1,1,0,0,1
2018,HANNUT,16676,36,71,64,185,264500,118.0,3,1,1,0,0,1
2018,ANS,27322,63,35,91,173,199500,96.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,199500,99.0,2,1,2,0,0,1
2018,ANS,27322,63,35,91,173,209500,99.0,2,1,2,0,0,0
2018,ANS,27322,63,35,91,173,229500,119.0,2,1,2,0,0,1
2018,LIÈGE,195965,65,32,97,166,238400,62.0,1,1,1,0,0,1
2018,LIÈGE,195965,65,32,97,166,252400,76.0,1,1,1,0,0,1
2018,LIÈGE,195965,65,32,97,166,327500,92.0,2,1,1,0,0,1
2018,MORESNET,4500,102,38,133,187,278810,122.0,3,1,1,0,1,0
2018,MORESNET,4500,102,38,133,187,282110,136.0,3,1,1,0,1,0
2018,MORESNET,4500,102,38,133,187,231430,130.0,3,2,1,0,1,0
2018,MORESNET,4500,102,38,133,187,278810,122.0,3,1,1,0,1,0
2018,REMICOURT,5012,52,50,79,187,253000,155.0,3,1,3,1,1,0
2018,HANNUT,16676,36,71,64,185,299000,204.0,4,2,2,1,1,0
2018,HANNUT,16676,36,71,64,185,311000,126.0,3,2,2,1,1,0
2018,HANNUT,16676,36,71,64,185,290000,140.0,3,1,2,1,1,0
2018,HANNUT,16676,36,71,64,185,242000,120.0,3,1,2,1,1,0
2018,HANNUT,16676,36,71,64,185,248500,144.0,3,1,1,0,1,0
2018,HANNUT,16676,36,71,64,185,243300,168.0,3,1,1,0,1,0
2019,LIÈGE,195965,65,32,97,166,304000,112.0,2,1,2,0,0,0
2019,LIÈGE,195965,65,32,97,166,174000,56.0,1,1,2,0,0,1
2019,LIÈGE,195965,65,32,97,166,289000,102.0,2,1,2,0,0,1
2019,LIÈGE,195965,65,32,97,166,174000,56.0,1,1,2,0,0,1
2019,LIÈGE,195965,65,32,97,166,196000,63.0,1,1,2,0,0,1
2019,LIÈGE,195965,65,32,97,166,252000,86.0,2,1,2,0,0,1
2019,LIÈGE,195965,65,32,97,166,252000,86.0,2,1,2,0,0,1
2019,LIÈGE,195965,65,32,97,166,289000,102.0,2,1,2,0,0,1
2019,TILFF,12889,76,44,109,157,307450,116.0,3,1,13,0,0,1
2019,BERTRIX,8164,88,159,147,84,162250,81.0,2,1,1,0,0,1
2019,VILLERS-LE-TEMPLE,6503,56,63,104,156,291000,178.0,3,1,3,0,1,0
2019,VILLERS-LE-TEMPLE,6503,56,63,104,156,291000,178.0,3,1,3,0,1,0
2019,JUPILLE-SUR-MEUSE,10784,77,29,108,167,176500,62.0,2,1,1,0,0,1
2019,JUPILLE-SUR-MEUSE,10784,77,29,108,167,162500,62.0,1,1,1,0,0,1
2019,JUPILLE-SUR-MEUSE,10784,77,29,108,167,149000,47.0,1,1,1,0,0,1
2019,JUPILLE-SUR-MEUSE,10784,77,29,108,167,237500,105.0,3,1,1,0,0,1
2019,JUPILLE-SUR-MEUSE,10784,77,29,108,167,171000,58.0,2,1,1,0,0,1
2019,ROCOURT,197355,63,32,97,166,330804,142.0,4,1,2,1,1,0
2019,AMAY,14231,46,56,94,165,279000,203.0,4,2,2,1,1,0
2019,LIÈGE,195965,65,32,97,166,252000,86.0,2,1,2,0,0,1
2019,JAMBES,19399,1,94,67,155,285000,94.0,2,1,1,1,0,1
2019,MONTZEN,10401,102,35,132,161,180000,89.0,2,1,1,0,0,1
2019,MONTZEN,10401,102,35,132,161,182500,89.0,2,1,1,0,0,1
2019,MONTZEN,10401,102,35,132,161,145000,67.0,1,1,1,0,0,1
2019,MONTZEN,10401,102,35,132,161,155000,67.0,1,1,1,0,0,1
2019,MONTZEN,10401,102,35,132,161,186500,89.0,2,1,1,0,0,1
2019,MONTZEN,10401,102,35,132,161,158000,67.0,1,1,1,0,0,1
2019,WÉPION,6538,6,99,71,160,269000,170.0,3,1,2,0,0,0
2019,BOIS-DE-VILLERS,1720,11,104,76,155,269000,170.0,3,1,2,0,0,0
2019,JALHAY,8590,103,55,133,137,307000,100.0,3,1,2,1,1,0
2019,JALHAY,8590,103,55,133,137,308000,168.0,4,1,4,0,1,0
2019,STEMBERT,55198,96,49,127,141,180999,86.0,2,1,1,0,0,1
2019,STEMBERT,55198,96,49,127,141,189999,90.0,2,1,1,0,0,1
2019,STEMBERT,55198,96,49,127,141,172999,82.0,2,1,1,0,0,1
2019,STEMBERT,55198,96,49,127,141,189999,90.0,2,1,1,0,0,1
2019,STEMBERT,55198,96,49,127,141,184999,90.0,2,1,1,0,0,1
2019,STEMBERT,55198,96,49,127,141,119999,50.0,1,1,1,0,0,1
2019,VERVIERS,55592,94,46,124,140,189999,90.0,2,1,1,0,0,1
2019,VERVIERS,55592,94,46,124,140,119999,50.0,1,1,1,0,0,1
2019,FAIMES,3955,46,56,76,195,265000,130.0,3,1,2,1,1,0
2019,FAIMES,3955,46,56,76,195,265000,130.0,3,1,2,1,1,0
2019,FAIMES,3955,46,56,76,195,265000,130.0,3,1,2,1,1,0
2019,TROOZ,8172,76,40,108,157,249000,121.0,3,1,1,0,0,1
2019,TROOZ,8172,76,40,108,157,245000,121.0,3,1,1,0,0,1
2019,WAREMME,15437,51,54,78,191,224250,108.0,3,1,1,1,1,0
2019,MARCHE-EN-FAMENNE,17455,45,88,106,122,340000,123.0,3,2,1,0,0,0
2019,ROCOURT,197355,63,32,97,166,318850,92.0,3,1,1,0,1,0
2019,LAMBERMONT,3227,92,45,123,141,299000,166.0,3,1,2,0,0,1
2019,VERLAINE,3507,43,52,84,192,315000,214.0,4,1,2,0,1,0
2019,VERLAINE,3507,43,52,84,192,307000,196.0,4,1,1,0,1,0
2019,BASTOGNE,16377,86,118,147,83,390000,242.0,4,2,3,0,1,0
2019,GRIVEGNÉE,19606,69,34,102,164,244000,112.0,3,2,2,0,0,1
2019,CIPLET,5579,25,73,71,179,300000,220.0,4,1,2,0,1,0
2019,TROOZ,8172,76,40,108,157,159000,72.0,1,1,1,0,0,1
2019,PALISEUL,5393,77,163,136,92,225000,160.0,4,1,3,0,1,0
2019,WANZE,13570,34,65,82,163,175000,72.0,1,1,2,1,0,1
2019,VERLAINE,3507,43,52,84,192,307000,196.0,4,1,1,0,1,0
2019,OHEY,5090,29,82,90,149,345000,210.0,3,1,1,0,1,0
2019,TILFF,12889,76,44,109,157,475000,95.0,2,1,2,0,0,1
2019,ROCOURT,197355,63,32,97,166,275000,140.0,3,1,2,0,1,0
2019,MALMEDY,12654,121,73,151,116,275000,144.0,3,2,10,0,1,0
2019,VERVIERS,55592,94,46,124,140,305000,99.0,2,1,7,0,0,1
2019,VERVIERS,55592,94,46,124,140,305000,99.0,2,1,7,0,0,1
2019,VERVIERS,55592,94,46,124,140,290000,99.0,2,1,7,0,0,1
2019,VERVIERS,55592,94,46,124,140,290000,99.0,2,1,7,0,0,1
2019,FLÉMALLE,25140,55,47,99,182,289500,190.0,4,1,1,0,1,0
2019,STEMBERT,55198,96,49,127,141,306542,200.0,3,1,1,0,1,0
2019,STEMBERT,55198,96,49,127,141,302266,132.0,3,1,1,0,1,0
2019,STEMBERT,55198,96,49,127,141,277597,131.0,3,1,1,0,1,0
2019,STEMBERT,55198,96,49,127,141,283862,129.0,3,1,1,0,1,0
2019,STEMBERT,55198,96,49,127,141,311614,201.0,3,1,1,0,1,0
2019,STEMBERT,55198,96,49,127,141,278938,131.0,3,1,1,0,1,0
2019,VERVIERS,55592,94,46,124,140,292148,146.0,3,1,2,1,1,0
2019,LIÈGE,195965,65,32,97,166,292475,92.0,3,1,1,1,1,0
2019,GRÂCE-HOLLOGNE,23574,56,41,94,177,249000,140.0,3,1,2,1,1,0
2019,HUY,21293,38,68,86,162,172500,85.0,2,1,2,0,0,1
2019,ETHE,11323,132,174,190,48,360000,196.0,3,1,1,0,1,0
2019,ROCOURT,197355,63,32,97,166,375065,157.0,4,1,2,1,1,0
2019,STEMBERT,55198,96,49,127,141,350010,140.0,4,1,2,0,1,0
2019,ROCOURT,197355,63,32,97,166,325195,142.0,4,1,2,1,1,0
2019,ROCOURT,197355,63,32,97,166,295050,92.0,3,1,1,1,1,0
2019,CINEY,16439,30,119,91,132,260000,116.0,3,2,2,0,0,0
2019,CINEY,16439,30,119,91,132,246500,103.0,2,1,2,0,0,0
2019,CINEY,16439,30,119,91,132,165000,55.0,1,1,2,0,0,1
2019,CINEY,16439,30,119,91,132,205500,82.0,2,1,2,0,0,1
2019,CINEY,16439,30,119,91,132,154500,57.0,1,1,2,0,0,1
2019,CINEY,16439,30,119,91,132,271500,140.0,3,2,1,1,0,1
2019,CINEY,16439,30,119,91,132,260000,123.0,3,1,1,0,0,1
2019,STEMBERT,55198,96,49,127,141,306542,200.0,3,1,1,0,1,0
2019,STEMBERT,55198,96,49,127,141,302266,132.0,3,1,1,0,1,0
2019,CINEY,16439,30,119,91,132,285000,153.0,3,1,3,1,1,0
2019,ARLON,30047,129,156,188,33,435000,243.0,4,2,2,1,1,0
2019,ROCOURT,197355,63,32,97,166,324550,129.0,3,1,2,1,1,0
2019,ROCOURT,197355,63,32,97,166,329608,147.0,4,1,2,1,1,0
2019,ROCOURT,197355,63,32,97,166,342400,129.0,3,1,2,1,1,0
2019,HUY,21293,38,68,86,162,171000,84.0,2,1,2,0,0,1
