baujahr,stadt,Bevölkerung,DistanzNamur,DistanzMaastricht,DistanzBrüssel,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
1899,WERBOMONT,4449,101,69,133,130,220000,170.0,3,1,7,0,1,0
1899,VILLERS-LE-BOUILLET,6600,41,58,89,190,199000,150.0,2,1,4,1,1,0
1899,AYENEUX,16235,83,35,114,163,180000,120.0,2,1,1,0,0,1
1899,AYENEUX,16235,83,35,114,163,180000,120.0,2,1,1,0,0,0
1899,ÔDET,4617,43,72,5,142,199000,195.0,4,1,1,1,1,0
1899,AMAY,14231,46,56,94,165,140000,150.0,3,1,1,1,1,0
1899,JEMELLE,2006,53,97,114,115,169000,157.0,4,1,1,0,1,0
1899,VERVIERS,55592,94,46,124,140,385000,700.0,8,1,20,1,1,0
1900,CHAIRIÈRE,275,79,179,151,110,193000,187.0,3,1,1,0,1,0
1900,COMBLAIN-FAIRON,3592,68,66,131,146,150000,126.0,2,1,1,0,1,0
1900,HANNUT,16676,36,71,64,185,190000,120.0,3,1,3,1,1,0
1900,WANZE,13570,34,65,82,163,330000,534.0,3,1,2,1,1,0
1900,FERRIÈRES,5006,71,76,140,136,245000,152.0,3,1,2,1,1,0
1900,MARLOIE,2300,48,92,109,120,210000,150.0,3,1,8,0,1,0
1900,VIRTON,11233,133,175,191,52,155000,116.0,3,1,1,1,1,0
1900,CHÊNÉE,195965,69,36,101,164,189000,99.0,2,1,2,0,0,1
1900,CHÊNÉE,195965,69,36,101,164,289000,212.0,2,1,2,1,0,1
1900,MALEMPRÉ,310,77,83,147,120,399000,246.0,3,1,4,0,1,0
1900,HANNUT,16676,36,71,64,185,190000,120.0,3,1,3,1,1,0
1900,TINLOT,2747,54,59,97,151,175000,145.0,4,1,5,1,1,0
1900,HAMOIR,3874,65,69,112,143,175000,145.0,4,1,5,1,1,0
1900,OUFFET,2797,60,63,105,150,175000,145.0,4,1,5,1,1,0
1900,WAREMME,15437,51,54,78,191,240000,130.0,4,1,4,1,1,0
1900,MONCEAU-EN-ARDENNE,3378,81,167,140,107,320000,323.0,3,1,1,0,1,0
1900,PEPINSTER,9703,96,48,127,158,999950,286.0,3,2,7,0,1,0
1900,HOUFFALIZE,4802,104,100,164,103,614000,427.0,9,9,8,0,1,0
1900,SERAING,63968,65,48,101,166,164900,75.0,2,1,1,0,1,0
1900,ORCHIMONT,166,73,171,143,114,155000,224.0,4,1,1,0,1,0
1900,GEER,3485,48,63,72,196,400000,235.0,5,1,1,1,1,0
1900,OIGNIES-EN-THIÉRACHE,850,48,167,124,147,100000,155.0,2,1,2,1,1,0
1900,OLNE,4035,87,39,117,162,175000,150.0,5,1,2,1,1,0
1900,HODEIGE,5012,53,48,79,185,220000,179.0,3,1,6,1,1,0
1900,JAMBES,19399,1,94,67,155,219000,195.0,4,1,1,0,1,0
1900,GEMBES,1407,89,174,147,99,385000,393.0,5,2,1,0,1,0
1900,SAINT-MARD,10500,135,177,193,54,135000,135.0,4,1,1,0,1,0
1900,ENGIS,6206,52,51,97,166,139000,120.0,3,1,1,0,1,0
1900,ANDRIMONT,4359,93,45,123,145,205000,290.0,3,2,1,1,1,0
1900,VIELSALM,7897,96,94,164,97,180000,154.0,2,1,3,0,1,0
1902,VERLAINE,3507,43,52,84,192,385000,170.0,4,1,2,1,1,0
1902,VIRTON,11233,133,175,191,52,695000,600.0,8,3,3,0,1,0
1902,MESSANCY,8283,136,179,195,31,210000,486.0,4,1,2,1,1,0
1903,NAMUR,110175,0,93,66,154,899000,450.0,6,5,2,0,1,0
1903,WÉPION,6538,6,99,71,160,899000,450.0,6,5,2,0,1,0
1903,ANDENNE,27010,34,78,76,155,495000,350.0,7,2,3,1,1,0
1904,LIÈGE,195965,65,32,97,166,299000,259.0,4,1,2,1,1,0
1904,HALANZY,2809,143,185,202,41,275000,300.0,5,1,1,0,1,0
1905,SPRIMONT,14645,83,52,116,147,350000,185.0,3,1,3,1,1,0
1905,SERAING,63968,65,48,101,166,465000,375.0,8,2,18,0,1,0
1908,BATTICE,17598,87,39,117,147,549000,469.0,5,3,3,1,1,0
1908,ESNEUX,13049,81,49,113,158,249000,143.0,4,2,2,0,1,0
1910,BUTGENBACH,5574,136,88,166,113,695000,662.0,16,14,1,0,1,0
1911,BRAIVES,6396,43,68,71,169,395000,153.0,3,1,12,0,1,0
1912,AYWAILLE,12000,91,59,123,146,589000,272.0,4,2,2,0,1,0
1914,WELLIN,3117,70,124,113,108,495000,328.0,7,7,10,0,1,0
1915,JEMELLE,2006,53,97,114,115,165000,165.0,4,2,1,0,1,0
1918,ARLON,30047,129,156,188,33,525000,150.0,3,1,7,0,1,0
1918,NAMUR,110175,0,93,66,154,189000,108.0,3,5,2,0,1,0
1918,EMBOURG,8062,71,39,104,161,159000,70.0,1,2,1,1,1,0
1918,EMBOURG,8062,71,39,104,161,159000,70.0,2,2,1,1,0,1
1918,EMBOURG,8062,71,39,104,161,159000,70.0,2,2,1,1,1,0
1918,HUY,21293,38,68,86,162,135000,150.0,4,1,1,0,1,0
1918,BURG-REULAND,3956,152,104,182,86,220000,358.0,4,1,4,0,1,0
1918,ESNEUX,13049,81,49,113,158,460000,260.0,5,1,2,0,1,0
1918,MUSSON,4646,142,185,201,43,280000,115.0,2,1,1,0,1,0
1918,MUSSON,4646,142,185,201,43,297000,140.0,3,1,3,0,1,0
1918,LIÈGE,195965,65,32,97,166,259000,90.0,2,1,1,0,0,0
1918,MARLOIE,2300,48,92,109,120,179000,255.0,3,1,4,1,1,0
1918,JEMELLE,2006,53,97,114,115,89500,250.0,4,1,2,0,1,0
1918,LIBIN,5223,67,153,126,85,299000,284.0,4,1,1,0,1,0
1918,SPA,10543,109,61,140,130,795000,500.0,6,2,5,0,1,0
1918,LOUETTE-SAINT-DENIS,260,63,160,132,110,125000,100.0,2,1,2,0,1,0
1918,ROCHEFORT,12609,49,101,112,114,169000,214.0,2,1,1,0,1,0
1918,CORBION,5427,101,187,160,110,75000,90.0,2,1,1,0,1,0
1919,DAVE,1498,7,102,74,149,950000,340.0,3,1,9,1,1,0
1919,DAVE,1498,7,102,74,149,950000,340.0,3,2,5,1,1,0
1919,WANZE,13570,34,65,82,163,165000,90.0,2,1,2,1,1,0
1919,LIÈGE,195965,65,32,97,166,265000,100.0,3,1,2,0,1,0
1919,LIÈGE,195965,65,32,97,166,373000,144.0,3,2,4,1,1,0
1919,WAIMES,7376,129,81,159,114,560000,337.0,12,3,10,0,1,0
1919,LIBRAMONT-CHEVIGNY,11346,83,150,142,75,135000,136.0,2,1,1,0,1,0
1920,HUY,21293,38,68,86,162,249000,177.0,5,1,2,1,1,0
1920,FAIMES,3955,46,56,76,195,315000,183.0,5,1,4,1,1,0
1920,SEILLES,4957,19,78,76,155,169000,130.0,3,1,1,1,1,0
1920,JUPILLE-SUR-MEUSE,10784,77,29,108,167,152500,95.0,3,1,1,0,1,0
1920,LIÈGE,195965,65,32,97,166,399000,325.0,4,2,2,0,1,0
1924,ENGIS,6206,52,51,97,166,245000,142.0,5,2,2,1,1,0
1924,MESSANCY,8283,136,179,195,31,189000,140.0,3,1,1,0,0,1
1925,SPRIMONT,14645,83,52,116,147,265000,141.0,3,1,2,1,1,0
1925,HAMOIR,3874,65,69,112,143,295000,242.0,3,1,5,1,1,0
1929,BULLANGE,5385,147,100,178,111,138000,222.0,6,1,1,0,1,0
1930,WAREMME,15437,51,54,78,191,220000,140.0,3,1,2,1,1,0
1930,OREYE,3464,59,30,80,187,240000,180.0,5,1,1,1,1,0
1930,LIÈGE,195965,65,32,97,166,235000,235.0,3,1,1,1,1,0
1930,MONTEGNÉE,11705,60,40,93,172,109000,50.0,1,1,1,1,1,0
1930,VERVIERS,55592,94,46,124,140,179000,242.0,4,1,1,0,1,0
1930,AUBANGE,16042,140,182,198,34,425000,350.0,3,1,26,0,1,0
1930,ROCOURT,197355,63,32,97,166,290000,277.0,5,1,1,1,1,0
1930,GUERLANGE,349,144,186,202,28,219000,160.0,4,1,1,1,1,0
1930,DAVE,1498,7,102,74,149,950000,348.0,3,2,8,1,1,0
1930,EUPEN,20026,101,54,132,149,249000,50.0,1,1,1,0,1,0
1930,ARLON,30047,129,156,188,33,285000,174.0,4,1,1,1,1,0
1930,WARET-L'EVÈQUE,5277,25,93,65,156,240000,170.0,3,1,3,1,1,0
1930,NAMUR,110175,0,93,66,154,275000,208.0,4,1,4,0,1,0
1930,COMBLAIN-AU-PONT,5384,73,61,126,157,350000,440.0,4,3,1,0,1,0
1930,ATHUS,7757,141,184,200,31,99000,72.0,3,1,1,0,1,0
1930,FAULX-LES-TOMBES,7246,23,91,76,145,275000,306.0,5,2,2,1,1,0
1930,ANDRIMONT,4359,93,45,123,145,215000,155.0,2,1,2,1,1,0
1930,ANDRIMONT,4359,93,45,123,145,199000,119.0,2,1,1,1,1,0
1930,TOURINNE,5361,42,67,72,190,99900,175.0,3,1,4,0,1,0
1931,SOURBRODT,7429,117,70,148,123,600000,375.0,5,3,12,1,1,0
1932,BOMAL-SUR-OURTHE,1100,62,84,123,144,235000,225.0,5,1,3,1,1,0
1932,LIÈGE,195965,65,32,97,166,189000,180.0,4,1,1,1,1,0
1933,THOMMEN,242,112,98,176,85,147000,70.0,2,1,1,1,1,0
1933,AWANS,9252,61,40,88,177,249000,229.0,4,1,4,1,1,0
1934,EMBOURG,8062,71,39,104,161,259000,120.0,2,2,2,1,1,0
1934,BUTGENBACH,5574,136,88,166,113,215000,130.0,6,1,5,1,1,0
1934,EREZÉE,3228,64,90,125,130,169000,134.0,3,1,5,0,1,0
1935,TIHANGE,3141,39,65,87,162,265000,120.0,2,1,1,0,1,0
1935,TIHANGE,3141,39,65,87,162,175000,120.0,2,1,1,0,1,0
1935,AMAY,14231,46,56,94,165,189500,140.0,3,1,1,0,1,0
1936,ALLEUR,7294,62,35,93,177,135000,108.0,2,1,3,0,1,0
1936,SPA,10543,109,61,140,130,140000,90.0,3,2,1,1,1,0
1936,GRAIDE,3307,72,158,131,109,189000,300.0,4,1,4,0,1,0
1936,HACCOURT,3851,76,19,106,183,230000,213.0,4,1,4,0,1,0
1937,AUBANGE,16042,140,182,198,34,275000,141.0,2,1,1,1,1,0
1938,NAMUR,110175,0,93,66,154,375000,175.0,5,2,1,1,1,0
1938,VERVIERS,55592,94,46,124,140,180000,220.0,3,1,1,1,1,0
1938,MELLIER,11574,105,148,164,54,325000,262.0,5,3,5,1,1,0
1938,HOLLOGNE-AUX-PIERRES,22541,55,41,94,177,299000,183.0,4,1,5,0,1,0
1938,HERSTAL,600000,72,27,103,175,189000,200.0,3,2,1,1,1,0
1938,OLEYE,785,54,53,77,190,225000,140.0,3,1,1,0,1,0
1938,YVOIR,8450,19,120,92,145,285000,150.0,4,1,2,1,1,0
1938,BEAUFAYS,21012,79,47,111,153,172500,100.0,4,1,1,0,1,0
1939,NAMUR,110175,0,93,66,154,950000,500.0,10,5,1,0,1,0
1939,NAMUR,110175,0,93,66,154,795000,550.0,5,4,2,0,1,0
1940,NEUFCHÂTEAU,7770,91,144,150,63,881000,702.0,6,3,2,0,1,0
1940,RENDEUX,2582,60,98,121,131,185000,300.0,2,1,1,0,1,0
