baujahr,stadt,Bevölkerung,DistanzSaarbrücken,DistanzThionville,DistanzMetz,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2003,ZOUFFTGEN,1153,94,21,48,21,759000,235.0,3,1,10,0,0,1
2004,ENTRANGE,1269,97,16,43,24,655000,250.0,7,2,1,1,1,0
2004,YUTZ,16064,95,3,30,38,175000,71.45,2,1,1,0,0,1
2005,LEXY,3540,124,45,67,43,410000,169.0,4,1,2,0,1,0
2005,METZ,117492,70,28,0,62,399000,180.0,6,2,11,1,1,0
2006,GAVISSE,564,79,14,43,36,365000,152.0,3,1,1,1,1,0
2006,HUNTING,742,75,15,43,45,131000,77.0,2,1,1,0,0,1
2006,SAINT-PIERREVILLERS,160,127,44,63,55,450000,193.0,3,2,1,0,1,0
2007,COSNES-ET-ROMAIN,2652,123,47,68,43,520000,244.0,4,1,1,0,1,0
2007,MONDORFF,555,75,21,52,27,695600,165.0,4,3,2,1,1,0
2007,MONDORFF,555,75,21,52,27,922000,200.0,4,2,2,1,1,0
2007,NEUFCHEF,2557,97,14,33,40,515000,200.0,3,1,1,1,1,0
2007,THIONVILLE,40665,94,0,30,36,189000,67.0,2,1,1,0,0,1
2008,CRUSNES,1592,112,24,48,33,595000,175.0,3,2,4,0,1,0
2008,MALLING,623,77,14,42,38,435000,180.0,5,1,2,1,1,0
2008,BOULANGE,2501,107,21,43,44,395000,173.0,4,1,2,1,1,0
2009,AUDUN-LE-TICHE,6753,106,30,53,25,199000,70.0,1,1,1,0,0,1
2009,CATTENOM,2735,88,9,40,33,237000,86.0,2,1,2,0,0,1
2009,LEXY,3540,124,45,67,43,485000,118.0,4,1,4,0,1,0
2009,FLORANGE,11924,92,7,27,35,169000,75.0,2,1,1,0,0,1
2009,THIONVILLE,40665,94,0,30,36,825000,231.0,4,2,5,1,1,0
2009,MÉCLEUVES,1172,74,42,15,75,569000,215.0,5,1,1,1,1,0
2009,TRESSANGE,2069,110,20,45,34,480000,177.0,4,2,2,0,1,0
2009,GUÉNANGE,7172,84,8,25,42,154000,67.05,2,1,1,0,0,1
2009,GUÉNANGE,7172,84,8,25,42,113000,455.0,1,1,1,0,0,1
2009,GUÉNANGE,7172,84,8,25,42,113000,455.0,1,1,1,0,0,1
2009,GUÉNANGE,7172,84,8,25,42,113000,46.65,1,1,1,0,0,1
2009,GUÉNANGE,7172,84,8,25,42,102600,44.55,1,1,1,0,0,1
2010,COSNES-ET-ROMAIN,2652,123,47,68,43,530000,169.0,4,1,1,0,1,0
2010,AUDUN-LE-TICHE,6753,106,30,53,25,670000,224.0,6,1,4,1,1,0
2010,VOLMERANGE-LES-MINES,2156,97,18,44,24,899000,257.0,5,1,2,1,1,0
2011,VOLSTROFF,1906,68,9,27,44,495000,180.0,4,2,2,1,1,0
2011,TERVILLE,6804,94,3,30,33,194000,72.0,2,1,1,0,0,1
2011,VOLMERANGE-LES-MINES,2156,97,18,44,24,782000,260.0,5,3,5,1,1,0
2012,VILLERUPT,9552,107,33,54,26,175000,70.0,2,1,1,0,0,1
2012,VILLERUPT,9552,107,33,54,26,165000,60.0,2,1,3,0,0,1
2013,ATTON,804,96,58,30,92,335000,135.0,3,1,1,1,1,0
2014,BREISTROFF-LA-GRANDE,650,83,16,48,28,389000,140.0,3,2,1,1,1,0
2014,BOUSSE,3098,85,14,23,48,489000,140.0,3,2,2,1,1,0
2014,BOUSSE,3098,85,14,23,48,179000,61.0,2,1,2,1,0,0
2014,OTTANGE,2924,101,22,49,29,499000,157.77,3,1,2,1,1,0
2014,ROSBRUCK,772,19,76,52,110,660000,289.0,4,1,6,1,1,0
2015,HETTANGE-GRANDE,7618,98,10,44,25,289000,78.28,2,1,4,0,0,1
2015,YUTZ,16064,95,3,30,38,178500,51.6,1,1,1,0,0,1
2015,BRIEY,5729,99,27,35,53,349000,117.0,3,2,1,1,1,0
2015,PUTTELANGE-LÈS-THIONVILLE,956,78,21,52,30,365000,101.0,3,2,1,1,1,0
2016,LEXY,3540,124,45,67,43,389000,156.0,3,1,2,1,1,0
2017,BOUSSE,3098,85,14,23,48,285000,135.0,4,1,1,1,1,0
2017,CLOUANGE,3708,88,20,24,46,138000,70.0,1,1,1,0,0,0
2018,HETTANGE-GRANDE,7618,98,10,44,25,338000,95.0,2,2,4,0,0,1
2019,TELLANCOURT,551,130,51,73,49,349000,138.0,3,1,2,1,0,0
2019,MONDORFF,555,75,21,52,27,464000,108.4,3,1,1,1,1,0
2019,VIONVILLE,186,90,50,22,83,250000,163.0,4,1,1,0,1,0
2020,VILLERS-LA-MONTAGNE,1482,121,35,57,40,349000,120.0,3,1,2,1,1,0
2020,LESMÉNILS,498,91,52,25,86,289000,110.0,3,1,1,1,1,0
2020,WOIPPY,13608,73,27,5,61,299000,100.0,3,1,1,1,1,0
2020,LONGUYON,5397,138,59,81,57,299000,110.0,3,2,1,1,1,0
2020,KÉDANGE-SUR-CANNER,1085,60,16,28,51,279000,110.0,3,1,2,0,1,0
2020,MERCY-LE-BAS,1271,121,38,57,45,255000,120.0,3,2,2,1,1,0
2020,CONDÉ-NORTHEN,661,51,52,21,85,279000,110.0,3,1,1,0,1,0
2020,APACH,1022,68,21,49,37,419000,120.0,4,1,2,1,1,0
2020,CREUTZWALD,13255,35,73,49,92,269000,110.0,3,1,2,1,1,0
2020,SARREGUEMINES,21236,20,102,78,117,249000,110.0,4,2,2,1,1,0
2020,SAULNY,1400,83,28,7,62,299000,110.0,4,1,1,1,1,0
2020,SAULNY,1400,83,28,7,62,299000,110.0,3,1,2,1,1,0
2020,KÉDANGE-SUR-CANNER,1085,60,16,28,51,269000,110.0,4,1,1,1,1,0
2020,BARST,586,32,84,60,118,249000,110.0,3,1,1,1,1,0
2020,SARREGUEMINES,21236,20,102,78,117,239000,110.0,3,1,1,1,1,0
2020,SARREGUEMINES,21236,20,102,78,117,269000,130.0,4,2,2,1,1,0
2020,FORBACH,21639,12,81,57,115,259000,110.0,3,2,1,1,1,0
2020,HELLIMER,573,40,92,68,126,239000,110.0,3,1,2,1,1,0
2020,WOIPPY,13608,73,27,5,61,309000,110.0,4,1,1,1,1,0
2020,EBERSVILLER,921,56,25,27,60,275000,105.0,3,1,1,0,1,0
2020,HOMBOURG-HAUT,6756,24,75,51,108,239000,105.0,3,1,1,1,1,0
2020,ORNY,371,77,45,18,78,279000,105.0,4,1,1,1,1,0
2020,ORNY,371,77,45,18,78,285000,110.0,3,1,1,1,1,0
2020,SAULNY,1400,83,28,7,62,329000,120.0,3,2,1,1,1,0
2020,RONCOURT,992,87,30,16,55,282000,105.0,3,1,1,1,1,0
2020,VARIZE,540,47,47,23,81,279000,100.0,3,1,1,1,1,0
2020,KÉDANGE-SUR-CANNER,1085,60,16,28,51,265000,95.0,3,1,1,1,1,0
2020,SAULNY,1400,83,28,7,62,320000,120.0,3,1,1,1,1,0
2020,FORBACH,21639,12,81,57,115,249000,105.0,4,1,1,1,1,0
2020,LÉNING,313,48,89,65,123,235000,110.0,3,1,1,1,1,0
2020,KÉDANGE-SUR-CANNER,1085,60,16,28,51,285000,110.0,3,1,1,1,1,0
2020,METZ,117492,70,28,0,62,217900,67.28,2,1,1,0,0,1
2020,THIONVILLE,40665,94,0,30,36,350000,96.0,2,1,2,1,0,1
2020,THIONVILLE,40665,94,0,30,36,350000,96.0,2,1,2,1,0,1
2020,THIONVILLE,40665,94,0,30,36,350000,95.0,2,1,2,1,0,1
2020,THIONVILLE,40665,94,0,30,36,350000,95.0,2,1,2,1,0,1
2020,RODEMACK,1167,81,18,50,26,345000,112.0,3,1,1,1,1,0
2020,AUDUN-LE-TICHE,6753,106,30,53,25,322000,89.0,3,1,2,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,287000,70.0,2,1,2,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,187000,50.0,2,1,2,0,0,1
2020,TRESSANGE,2069,110,20,45,34,258000,84.02,2,1,1,0,0,1
2020,TRESSANGE,2069,110,20,45,34,256000,84.02,2,1,1,0,0,1
2020,TRESSANGE,2069,110,20,45,34,256000,84.02,2,1,1,0,0,1
2020,TRESSANGE,2069,110,20,45,34,269000,81.15,2,1,1,1,0,1
