baujahr,stadt,Bevölkerung,DistanzKöln,DistanzSaarbrücken,DistanzFrankfurt,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
1975,SAARBRÜCKEN,178151,262,0,185,100,128000,100,4,1,0,0,1,0
2020,BOLLENDORF,1679,172,125,227,28,565000,160.0,3,1,1,1,1,0
2020,PERL,7267,218,64,239,38,380000,160.0,1,2,1,1,0,0
2020,METTLACH-TÜNSDORF,900,226,56,231,48,535000,150.0,4,2,2,1,1,0
2020,BOLLENDORF,1679,172,125,227,28,575000,162.0,3,1,1,1,1,0
2020,NEWEL,2913,164,107,203,45,295000,90.0,2,1,2,0,0,0
2020,HOLSTHUM,566,159,124,214,36,675000,145.5,9,6,1,0,1,0
2020,PERL,7267,218,64,239,38,475000,180.0,3,1,2,1,1,0
2020,SAARBRÜCKEN,178151,262,0,185,100,280000,132.0,2,1,1,0,0,1
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,BITBURG,14002,146,123,196,67,439593,133.21,3,2,1,0,0,1
2020,BITBURG,14002,146,123,196,67,425502,135.08,3,2,1,0,0,1
2020,TRIER,110636,174,99,196,49,755761,151.9,4,1,1,0,0,1
2020,TRIER,110636,174,99,196,49,417612,95.02,2,1,1,0,0,0
2020,TRIER,110636,174,99,196,49,620002,141.07,2,2,1,0,0,0
2020,TRIER,110636,174,99,196,49,439865,105.61,3,2,2,0,0,1
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,TRIER,110636,174,99,196,49,949000,120.0,2,1,2,0,0,0
2020,NENNIG,1149,210,71,246,24,650000,150.0,3,1,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,280000,134.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,280000,134.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
