kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
245000,1950,0,1,79.0,2,1,2,1,DIRBACH,693,0,0,1,0
1950000,1950,0,1,287.0,6,2,11,1,PÉTANGE,18200,0,0,1,0
635000,1950,0,1,120.0,4,1,2,1,PÉTANGE,18200,0,0,1,0
399000,1950,1,0,50.0,2,1,1,0,DIFFERDANGE,25400,0,0,1,0
869000,1950,0,1,133.0,2,1,1,1,BETTEM,10700,0,0,1,0
920000,1950,0,1,185.0,3,1,1,1,KAYL,8982,0,0,1,0
755000,1950,0,1,120.0,3,1,1,1,DIFFERDANGE,25400,0,0,1,0
640000,1951,1,0,138.0,4,1,2,0,OBE,374,0,0,1,0
980000,1951,0,1,140.0,4,1,1,1,CLEMENCY,2105,0,0,1,0
2850000,1952,0,1,210.0,6,2,2,1,LUXEMBOURG-B,3746,0,0,1,0
849000,1952,0,1,257.0,5,2,6,1,GILSDORF,864,0,0,1,0
820000,1952,0,1,160.0,5,1,2,1,ESCH-SUR-ALZETTE,34780,0,0,1,0
3500000,1953,0,1,285.0,5,3,1,1,LUXEMBOURG-LIMPERT,10900,0,0,1,0
780000,1953,0,1,138.0,3,1,1,1,BE,13357,0,0,1,0
1149000,1953,0,1,180.0,3,1,3,1,SCHIFFLANGE,10300,0,0,1,0
1635000,1953,0,1,150.0,3,1,1,1,HOWALD,4760,0,0,1,0
749000,1953,0,1,130.0,5,1,1,1,ESCH-SUR-ALZETTE,34780,0,0,1,0
1090000,1954,0,1,140.0,4,1,5,1,DUDELANGE,20400,0,0,1,0
850000,1954,0,1,146.0,4,1,2,1,SCHIFFLANGE,10300,0,0,1,0
1725000,1954,1,0,172.0,3,2,1,0,LUXEMBOURG-CENTRE,122273,0,0,1,0
2795000,1955,0,1,265.0,6,2,1,1,LUXEMBOURG-LIMPERT,10900,0,0,1,0
1490000,1955,0,1,250.0,4,2,3,1,LUXEMBOURG-MUHLENBACH,2201,0,0,1,0
950000,1955,0,1,300.0,7,1,1,0,MERKHOLTZ,103,0,0,1,0
2429000,1956,0,1,240.0,5,3,1,1,LUXEMBOURG-CENTS,6325,0,0,1,0
3200000,1956,0,1,340.0,6,3,2,0,LUXEMBOURG-MERL,6264,0,0,1,0
940000,1956,0,1,200.0,4,2,2,1,BE,13357,0,0,1,0
625000,1956,1,0,57.0,1,1,1,0,LUXEMBOURG-CENTRE,122273,0,0,1,0
1750000,1957,0,1,166.0,4,1,2,1,WALFERDANGE,6400,0,0,1,0
1390000,1957,0,1,174.0,4,1,2,1,LUXEMBOURG-BONNEVOIE,12734,0,0,1,0
690000,1958,0,1,135.0,4,1,1,1,DIFFERDANGE,25400,0,0,1,0
672000,1958,0,1,140.0,3,1,1,1,PÉTANGE,18200,0,0,1,0
735000,1959,1,0,75.0,1,1,1,0,LUXEMBOURG-BONNEVOIE,12734,0,0,1,0
2500000,1960,0,1,200.0,5,1,4,1,LUXEMBOURG-MERL,6264,0,0,1,0
1495000,1960,0,1,141.96,4,1,3,1,HEISDORF,1553,0,0,1,0
